Category,Type,Lot #,Shape,Carat,Color,Clarity,Cut,Pol.,Sym.,Depth %,Table %,Fluor.,Measurement,Lab,Certificate #,Rap. Price,Discount,Price/Ct,Total Price,Cert,Video,Cert,Video,,
Certified,6+,10554,RD,6.4,M,VS2,,,,0,0,,12.19 x 12.30 x 6.99,GIA,2201913022,$0 ,,"$6,250 ","$40,000 ",CERT,VIDEO,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=2201913022,http://up.diacam360.com/scan/8f5d_202440,,
Certified,6+,12349,RD,7.52,N,VVS2,G,VG,VG,54.4,68,NON,13.33 x 13.20 x 7.22,GIA,2205919358,$0 ,,"$7,150 ","$53,768 ",CERT,VIDEO,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=2205919358,https://up.diacam360.com/scan/e2ab_376672,,
Certified,6+,10026,RD,12.23,N,SI1,EX,EX,EX,62.1,58,STG,14.69 x 14.65 x 9.11,GIA,2175474211,$0 ,,"$10,200 ","$124,746 ",CERT,VIDEO,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=2175474211,http://up.diacam360.com/scan/bbcf_37857,,
Certified,6+,S3802,RD,8.46,O-P,VVS2,VG,G,VG,60.8,57,NON,13.22 x 13.03 x 7.98,GIA,6203177679,$0 ,,"$8,840 ","$74,786 ",CERT,,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=6203177679,0,,
Certified,6+,9649,RD,6.15,S,SI1,F,G,VG,57.4,70,NON,12.24 x 12.04 x 6.96,GIA,2171150656,$0 ,,"$6,400 ","$39,360 ",CERT,VIDEO,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=2171150656,http://up.diacam360.com/scan/af3c_37837,,
Certified,5-5.99,12390,RD,5,D,VS2,VG,EX,EX,61.5,60,MED,11.02 x 10.97 x 6.76,GIA,1186624549,"$53,500 ",-59.16%,"$21,850 ","$109,250 ",CERT,,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=1186624549,0,,
Certified,5-5.99,A1025,RD,5.01,D,SI2,,G,G,65.9,60,MED,10.61 x 10.49 x 6.95,GIA,11399127,"$25,500 ",-35.77%,"$16,377 ","$82,051 ",CERT,VIDEO,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=11399127,https://up.diacam360.com/scan/2da7_283239,,
Certified,5-5.99,8637,RD,5.03,F,SI2,EX,G,G,60.3,64,Medium,11.18 x 11.00 x 6.69,,,"$22,500 ",-57.33%,"$9,600 ","$48,288 ",,VIDEO,0,http://up.diacam360.com/scan/1ea3_37714,,
Certified,5-5.99,12388,RD,5.73,G,VS1,EX,EX,EX,60.6,61,STG,11.58 x 11.57 x 7.02,GIA,6203055311,"$43,000 ",-61.50%,"$16,555 ","$94,862 ",CERT,,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=6203055311,0,,
Certified,5-5.99,10430,RD,5.3,G,SI2,EX,VG,VG,63.7,59,None,11.14 x 10.95 x 7.04,,US 916002101D,"$21,000 ",-57.14%,"$9,000 ","$47,700 ",,VIDEO,0,http://up.diacam360.com/scan/19c0_103903,,
Certified,5-5.99,12022,RD,5.08,H,VS1,EX,EX,EX,62.7,57,FNT,10.97 x 10.92 x 6.86,GIA,7331579027,"$34,000 ",-44.18%,"$18,980 ","$96,418 ",CERT,VIDEO,http://www.gia.edu/cs/Satellite?pagename=GST%2FDispatcher&childpagename=GIA%2FPage%2FReportCheck&c=Page&cid=1355954554547&reportno=7331579027,https://up.diacam360.com/scan/d466_361836/video,,
Certified,5-5.99,5296A,RD,5.02,I,VVS2,VG,VG,G,58.1,63.5,None,11.28 x 11.36 x 6.59,IGI,GT11734201,"$29,000 ",-41.21%,"$17,050 ","$85,591 ",,VIDEO,0,http://up.diacam360.com/scan/6654_37726,,
